sys_user				系统用户
sys_facilities_maintenance_record		设施设备保养记录管理
sys_security_management			安全管理
sys_meter_reading_data				抄表数据表
sys_meter_reading_record			抄表记录表
sys_meter_reading_share				抄表公摊表
sys_meter_reading_share_details		抄表公摊详情表
sys_meter_reading_share_details_order	抄表公摊详情订单表

sys_rp_records						奖惩记录管理
sys_station_change					岗位变动管理

App:
user_code						app用户验证码
user_login_token					app用户登录login_token
cpm_resident_estate_examine			住户房产关联审核表(用于注册和自己添加的房产审核)
user_tel_update_code				app用户手机号修改验证码

sys_message						消息列表
sys_sending						消息接收列表
sys_comment_message				评论通知消息列表

sys_resident_request_log				用户请求日志


BulterApp:
butler_login_token					管家App用户登录login_token
butler_user_code					管家App用户验证码
butler_tel_update_code				管家App用户手机号修改验证码

butler_sys_message					管家App系统通知
butler_comment_message			管家App评论消息

Pay:
alipay_order						支付宝订单信息


Shopping:
shop_category						商品分类（3级分类【2级】）
shop_supplier						供应商
shop_goods						商品管理
shop_goods_appointment			商品预约管理

LilimPush:
lilin_access_control_record			立林门禁记录
lilin_attestation						立林验签表

